ip,urllenth,subdomainlength,lenghtratio,shortened,@,//,-,subdomains,other suffix,URL Entropy,Nan_entropy,tld,httpsurl,suspiciouswordcount,freehosting,websitetraffic,statisticalreport,Result
1,-0.47,-0.28,-1.68,1,0,1,0,-1,1,-0.81,-3.57,-0.45,1,0,1,-1,1,1
1,-0.5,-0.27,-1.85,1,0,1,0,-1,1,-0.84,-3.57,-0.48,1,0,1,1,1,1
1,-0.41,-0.28,-1.46,1,0,1,0,0,1,-0.77,-3.62,-0.15,1,0,1,-1,1,1
1,-0.49,-0.41,-1.2,1,0,1,0,0,1,-0.8,-4.65,-0.48,1,0,1,1,1,1
1,-0.51,-0.33,-1.55,1,0,1,0,-1,1,-0.83,-4.32,-0.5,1,0,1,1,1,1
1,-0.35,-0.25,-1.4,1,0,1,0,0,1,-0.75,-3.14,-0.45,1,0,1,-1,1,1
1,-0.44,-0.25,-1.76,1,0,1,0,0,1,-0.82,-3.06,-0.48,1,0,1,-1,1,1
1,-0.35,-0.19,-1.84,1,0,1,0,-1,1,-0.78,-3.06,-0.48,1,0,1,1,1,1
1,-0.43,-0.21,-2.05,1,0,1,0,-1,1,-0.83,-3.06,-0.48,1,0,1,1,1,1
1,-0.44,-0.35,-1.26,1,0,1,0,0,1,-0.82,-4.08,0,1,0,1,1,1,1
1,-0.43,-0.19,-2.26,1,0,1,0,-1,1,-0.76,-3.06,-0.48,1,0,1,1,1,1
1,-0.44,-0.32,-1.38,1,0,1,0,0,1,-0.83,-3.57,-0.48,1,0,1,-1,1,1
1,-0.46,-0.3,-1.53,1,0,1,0,-1,1,-0.86,-4.11,0,1,0,1,1,1,1
1,-0.46,-0.28,-1.64,1,0,1,0,-1,1,-0.79,-3.57,-0.48,1,0,1,1,1,1
1,-0.43,-0.26,-1.65,1,0,1,0,-1,1,-0.8,-3.57,-0.48,1,0,1,-1,1,1
1,-0.37,-0.18,-2.06,1,0,1,0,-1,1,-0.74,-3.06,-0.45,1,0,1,-1,1,1
1,-0.48,-0.26,-1.85,1,0,1,0,-1,1,-0.77,-3.57,-0.48,1,0,1,-1,1,1
1,-0.39,-0.2,-1.95,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.36,-0.2,-1.8,1,0,1,0,-1,1,-0.84,-3.06,-0.48,1,0,1,1,1,1
1,-0.37,-0.24,-1.54,1,0,1,-1,0,1,-0.81,-3.45,-0.48,1,0,1,-1,1,1
1,-0.53,-0.32,-1.66,1,0,1,0,-1,1,-0.84,-3.78,-0.48,1,0,1,1,1,1
1,-0.42,-0.22,-1.91,1,0,1,0,-1,1,-0.84,-3.06,-0.48,1,0,1,1,1,1
1,-0.51,-0.29,-1.76,1,0,1,-1,0,1,-0.79,-3.96,-0.45,1,0,1,-1,1,1
1,-0.31,-0.19,-1.63,1,0,1,0,0,1,-0.8,-2.57,-0.45,1,0,1,-1,1,1
1,-0.44,-0.25,-1.76,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.48,-0.31,-1.55,1,0,1,0,-1,1,-0.86,-3.49,-0.48,1,0,1,1,1,1
1,-0.34,-0.24,-1.42,1,0,1,0,0,1,-0.75,-3.57,-0.45,1,0,1,-1,1,1
1,-0.34,-0.19,-1.79,1,0,1,0,-1,1,-0.8,-3.06,0,1,0,1,1,1,1
1,-0.47,-0.21,-2.24,1,0,1,0,-1,1,-0.82,-3.27,-0.48,1,0,1,1,1,1
1,-0.42,-0.28,-1.5,1,0,1,0,0,1,-0.84,-3.78,-0.15,1,0,1,-1,1,1
1,-0.57,-0.34,-1.68,1,0,-1,0,-1,1,-0.87,-4.59,-0.48,1,0,1,1,1,1
1,-0.39,-0.2,-1.95,1,0,1,0,-1,1,-0.83,-3.27,-0.48,1,0,1,1,1,1
1,-0.43,-0.25,-1.72,1,0,1,0,0,1,-0.79,-3.27,-0.48,1,0,1,-1,1,1
1,-0.47,-0.28,-1.68,1,0,1,0,-1,1,-0.85,-3.78,-0.48,1,0,1,1,1,1
1,-0.42,-0.26,-1.62,1,0,1,0,0,1,-0.82,-3.57,-0.48,1,0,1,-1,1,1
1,-0.35,-0.19,-1.84,1,0,1,0,-1,1,-0.81,-3.06,-0.48,1,0,1,1,1,1
1,-0.52,-0.33,-1.58,1,0,1,0,-1,1,-0.85,-3.57,-0.48,1,0,1,1,1,1
1,-0.51,-0.2,-2.55,1,0,1,0,-1,1,-0.85,-3.06,-0.48,1,0,1,1,1,1
1,-0.43,-0.19,-2.26,1,0,1,0,-1,1,-0.84,-3.49,-0.48,1,0,1,1,1,1
1,-0.34,-0.24,-1.42,1,0,1,0,0,1,-0.78,-3.62,-0.15,1,0,1,-1,1,1
1,-0.51,-0.33,-1.55,1,0,1,0,0,1,-0.85,-3.57,-0.48,1,0,1,-1,1,1
1,-0.33,-0.2,-1.65,1,0,1,0,0,1,-0.8,-3.06,-0.48,1,0,1,-1,1,1
1,-0.49,-0.19,-2.58,1,0,1,0,-1,1,-0.78,-3.06,-0.48,1,0,1,1,1,1
1,-0.42,-0.3,-1.4,1,0,1,0,0,1,-0.84,-3.06,-0.48,1,0,1,-1,1,1
1,-0.42,-0.2,-2.1,1,0,1,0,-1,1,-0.86,-3.54,-0.48,1,0,1,1,1,1
1,-0.43,-0.2,-2.15,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.45,-0.36,-1.25,1,0,1,0,0,1,-0.82,-4.15,0,1,0,1,1,1,1
1,-0.56,-0.35,-1.6,1,0,1,-1,-2,1,-0.84,-5.45,-0.5,1,0,1,1,1,1
1,-0.29,-0.19,-1.53,1,0,1,0,0,1,-0.74,-3.06,-0.45,1,0,1,-1,1,1
1,-0.55,-0.38,-1.45,1,0,1,-3,0,1,-0.86,-5.81,-0.5,1,0,1,1,1,1
1,-0.51,-0.27,-1.89,1,0,1,0,-1,1,-0.85,-3.81,-0.15,1,0,1,-1,1,1
1,-0.49,-0.31,-1.58,1,0,1,0,0,1,-0.86,-3.78,-0.48,1,0,1,-1,1,1
1,-0.37,-0.24,-1.54,1,0,1,0,0,1,-0.82,-3.08,-0.48,1,0,1,-1,1,1
1,-0.58,-0.31,-1.87,1,0,1,0,-1,1,-0.82,-4,-0.48,1,0,1,1,1,1
1,-0.48,-0.34,-1.41,1,0,1,0,0,1,-0.82,-4.59,-0.48,1,0,1,-1,1,1
1,-0.38,-0.26,-1.46,1,0,1,0,0,1,-0.81,-3.57,-0.48,1,0,1,-1,1,1
1,-0.34,-0.2,-1.7,1,0,1,0,-1,1,-0.78,-3.06,0,1,0,1,1,1,1
1,-0.38,-0.25,-1.52,1,0,1,0,0,1,-0.84,-3.08,-0.48,1,0,1,-1,1,1
1,-0.37,-0.23,-1.61,1,0,1,0,-1,1,-0.79,-3.57,-0.15,1,0,1,-1,1,1
1,-0.51,-0.34,-1.5,1,0,1,-1,0,1,-0.85,-3.96,-0.48,1,0,1,-1,1,1
1,-0.46,-0.3,-1.53,1,0,1,0,-1,1,-0.81,-3.78,-0.45,1,0,1,-1,1,1
1,-0.75,-0.55,-1.36,1,0,1,-3,0,1,-0.86,-4.76,-0.48,1,0,1,-1,1,1
1,-0.4,-0.28,-1.43,1,0,1,0,0,1,-0.82,-3.57,-0.48,1,0,1,-1,1,1
1,-0.49,-0.29,-1.69,1,0,1,0,-2,1,-0.81,-4.05,-0.48,1,0,1,-1,1,1
1,-0.43,-0.35,-1.23,1,0,1,-1,0,1,-0.88,-4.67,-0.15,1,0,1,1,1,1
1,-0.39,-0.25,-1.56,1,0,1,0,-1,1,-0.76,-3.57,-0.45,1,0,1,1,1,1
1,-0.48,-0.32,-1.5,1,0,1,0,0,1,-0.85,-3.52,-0.48,1,0,1,-1,1,1
1,-0.42,-0.19,-2.21,1,0,1,0,-1,1,-0.81,-3.27,-0.48,1,0,1,1,1,1
1,-0.46,-0.3,-1.53,1,0,1,0,-1,1,-0.82,-3.57,-0.48,1,0,1,-1,1,1
1,-0.47,-0.24,-1.96,1,0,1,0,-1,1,-0.82,-3.06,-0.48,1,0,1,1,1,1
1,-0.38,-0.23,-1.65,1,0,1,0,0,1,-0.77,-3.57,-0.48,1,0,1,-1,1,1
1,-0.42,-0.26,-1.62,1,0,1,0,0,1,-0.81,-3.57,-0.48,1,0,1,-1,1,1
1,-0.4,-0.2,-2,1,0,1,0,0,1,-0.83,-3.06,-0.48,1,0,1,-1,1,1
1,-0.44,-0.33,-1.33,1,0,1,0,0,1,-0.83,-4.08,-0.48,1,0,1,1,1,1
1,-0.49,-0.3,-1.63,1,0,1,0,-1,1,-0.83,-4.11,-0.5,1,0,1,1,1,1
1,-0.48,-0.31,-1.55,1,0,1,-1,-1,1,-0.84,-3.96,-0.48,1,0,1,-1,1,1
1,-0.37,-0.19,-1.95,1,0,1,0,-1,1,-0.73,-3.06,-0.45,1,0,1,-1,1,1
1,-0.65,-0.37,-1.76,1,0,1,0,-1,1,-0.83,-4,-0.48,1,0,1,1,1,1
1,-0.56,-0.35,-1.6,1,0,1,0,0,1,-0.82,-3.57,-0.48,1,0,1,-1,1,1
1,-0.56,-0.36,-1.56,1,0,1,-1,0,1,-0.89,-4.18,-0.48,1,0,1,-1,1,1
1,-0.56,-0.39,-1.44,1,0,1,0,0,1,-0.86,-3.57,-0.48,1,0,1,-1,1,1
1,-0.4,-0.29,-1.38,1,0,1,0,0,1,-0.79,-3.57,-0.48,1,0,1,1,1,1
1,-0.49,-0.38,-1.29,1,0,1,0,0,1,-0.91,-3.3,-0.48,1,0,1,-1,1,1
1,-0.62,-0.49,-1.27,1,0,1,0,0,1,-0.88,-5.08,-0.5,1,0,1,-1,1,1
1,-0.7,-0.52,-1.35,1,0,1,0,0,1,-0.88,-4.56,-0.5,1,0,1,-1,1,1
1,-0.47,-0.34,-1.38,1,0,1,0,0,1,-0.85,-3.57,-0.48,1,0,1,-1,1,1
1,-0.6,-0.4,-1.5,1,0,1,0,0,1,-0.83,-4.3,-0.48,1,0,1,-1,1,1
1,-0.34,-0.18,-1.89,1,0,1,0,-1,1,-0.77,-3.06,-0.48,1,0,1,1,1,1
1,-0.36,-0.22,-1.64,1,0,1,-1,-1,1,-0.79,-3.45,-0.48,1,0,1,1,1,1
1,-0.38,-0.23,-1.65,1,0,1,0,0,1,-0.8,-3.57,-0.45,1,0,1,-1,1,1
1,-0.48,-0.32,-1.5,1,0,1,-1,-1,1,-0.81,-4.48,-0.45,1,0,1,-1,1,1
1,-0.55,-0.4,-1.38,1,0,1,0,-1,1,-0.82,-4.65,-0.48,1,0,1,1,1,1
1,-0.37,-0.23,-1.61,1,0,1,-1,0,1,-0.8,-3.96,-0.45,1,0,1,-1,1,1
1,-0.37,-0.29,-1.28,1,0,1,-1,0,1,-0.84,-4.45,-0.15,1,0,1,1,1,1
1,-0.38,-0.25,-1.52,1,0,1,0,0,1,-0.81,-3.57,-0.02,1,0,1,-1,1,1
1,-0.63,-0.53,-1.19,1,0,1,0,0,1,-0.88,-4.59,-0.48,1,0,1,1,1,1
1,-0.4,-0.32,-1.25,1,0,1,-1,0,1,-0.87,-4.67,-0.15,1,0,1,1,1,1
1,-0.54,-0.3,-1.8,1,0,1,0,-1,1,-0.82,-4.08,-0.48,1,0,1,1,1,1
1,-0.6,-0.47,-1.28,1,0,1,0,0,1,-0.85,-4.73,-0.48,1,0,1,-1,1,1
1,-0.37,-0.23,-1.61,1,0,1,0,0,1,-0.82,-3.06,-0.48,1,0,1,-1,1,1
1,-0.35,-0.23,-1.52,1,0,1,-1,0,1,-0.73,-3.48,-0.45,1,0,1,-1,1,1
1,-0.44,-0.22,-2,1,0,1,-2,-1,1,-0.86,-3.85,-0.15,1,0,1,-1,1,1
1,-0.44,-0.3,-1.47,1,0,1,0,0,1,-0.83,-3.57,-0.48,1,0,1,-1,1,1
1,-0.48,-0.33,-1.45,1,0,1,0,0,1,-0.88,-3.57,-0.15,1,0,1,-1,1,1
1,-0.48,-0.3,-1.6,1,0,1,0,-1,1,-0.85,-3.57,-0.48,1,0,1,1,1,1
1,-0.42,-0.32,-1.31,1,0,1,0,0,1,-0.85,-3.78,-0.32,1,0,1,-1,1,1
1,-0.53,-0.4,-1.32,1,0,1,0,-1,1,-0.84,-3.78,-0.48,1,0,1,1,1,1
1,-0.36,-0.24,-1.5,1,0,1,0,-1,1,-0.76,-3.06,0,1,0,1,-1,1,1
1,-0.61,-0.48,-1.27,1,0,1,0,0,1,-0.84,-5.62,-0.48,1,0,1,1,1,1
1,-0.29,-0.19,-1.53,1,0,1,0,-1,1,-0.78,-3.06,-0.48,1,0,1,1,1,1
1,-0.5,-0.27,-1.85,1,0,1,-1,-1,1,-0.81,-3.45,-0.48,1,0,1,1,1,1
1,-0.48,-0.4,-1.2,1,0,1,-1,0,1,-0.84,-3.99,-0.45,1,0,1,-1,1,1
1,-0.42,-0.28,-1.5,1,0,1,0,0,1,-0.77,-3.57,-0.48,1,0,1,-1,1,1
1,-0.35,-0.21,-1.67,1,0,1,-1,0,1,-0.83,-3.45,-0.45,1,0,1,-1,1,1
1,-0.52,-0.37,-1.41,1,0,1,-1,0,1,-0.85,-4.48,-0.48,1,0,1,1,1,1
1,-0.43,-0.2,-2.15,1,0,1,0,0,1,-0.82,-3.06,-0.48,1,0,1,-1,1,1
1,-0.34,-0.21,-1.62,1,0,1,0,0,1,-0.78,-3.06,-0.45,1,0,1,-1,1,1
1,-0.55,-0.42,-1.31,1,0,1,0,0,1,-0.85,-4.08,-0.15,1,0,1,1,1,1
1,-0.33,-0.21,-1.57,1,0,1,0,0,1,-0.8,-2.57,-0.45,1,0,1,-1,1,1
1,-0.38,-0.25,-1.52,1,0,1,0,0,1,-0.77,-3.62,-0.48,1,0,1,1,1,1
1,-0.53,-0.38,-1.39,1,0,1,0,0,1,-0.83,-4.08,-0.48,1,0,1,1,1,1
1,-0.33,-0.21,-1.57,1,0,1,0,0,1,-0.8,-3.06,-0.45,1,0,1,-1,1,1
1,-0.49,-0.36,-1.36,1,0,1,0,0,1,-0.85,-4.51,-0.48,1,0,1,-1,1,1
1,-0.52,-0.31,-1.68,1,0,1,0,-2,1,-0.88,-4.05,0,1,0,1,1,1,1
1,-0.51,-0.29,-1.76,1,0,1,0,-1,1,-0.85,-3.62,-0.45,1,0,1,1,1,1
1,-0.38,-0.24,-1.58,1,0,1,0,0,1,-0.78,-3.57,-0.48,1,0,1,-1,1,1
1,-0.56,-0.41,-1.37,1,0,1,0,-1,1,-0.79,-4.14,-0.45,1,0,1,-1,1,1
1,-0.42,-0.28,-1.5,1,0,1,0,0,1,-0.81,-3.06,-0.02,1,0,1,-1,1,1
1,-0.62,-0.47,-1.32,1,0,1,0,0,1,-0.89,-3.87,-0.48,1,0,1,-1,1,1
1,-0.45,-0.34,-1.32,1,0,1,0,-1,1,-0.81,-4.08,-0.48,1,0,1,1,1,1
1,-0.48,-0.35,-1.37,1,0,1,0,0,1,-0.87,-4.14,-0.48,1,0,1,-1,1,1
1,-0.43,-0.3,-1.43,1,0,1,0,0,1,-0.84,-3.57,-0.48,1,0,1,-1,1,1
1,-0.38,-0.21,-1.81,1,0,1,0,-1,1,-0.84,-3.27,-0.48,1,0,1,1,1,1
1,-0.37,-0.21,-1.76,1,0,1,0,-1,1,-0.78,-3.06,-0.48,1,0,1,1,1,1
1,-0.43,-0.24,-1.79,1,0,1,-1,0,1,-0.85,-3.45,-0.48,1,0,1,-1,1,1
1,-0.47,-0.2,-2.35,1,0,1,0,-1,1,-0.83,-3.06,-0.48,1,0,1,1,1,1
1,-0.36,-0.19,-1.89,1,0,1,0,0,1,-0.76,-3.06,-0.48,1,0,1,-1,1,1
1,-0.51,-0.29,-1.76,1,0,1,-1,-1,1,-0.79,-4.45,-0.48,1,0,1,1,1,1
1,-0.43,-0.24,-1.79,1,0,1,0,-1,1,-0.83,-3.06,-0.48,1,0,1,1,1,1
1,-0.46,-0.32,-1.44,1,0,1,0,-1,-1,-0.82,-3.62,-0.45,1,0,1,1,1,1
1,-0.43,-0.27,-1.59,1,0,1,0,0,1,-0.81,-3.57,-0.48,1,0,1,1,1,1
1,-0.69,-0.43,-1.6,1,0,1,0,-1,1,-0.82,-4.08,-0.15,1,0,1,1,1,1
1,-0.34,-0.19,-1.79,1,0,1,0,-1,1,-0.79,-3.06,0,1,0,1,1,1,1
1,-0.5,-0.33,-1.52,1,0,1,0,-1,1,-0.85,-3.57,-0.48,1,0,1,1,1,1
1,-0.32,-0.17,-1.88,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.33,-0.19,-1.74,1,0,1,0,-1,1,-0.82,-3.06,-0.48,1,0,1,1,1,1
1,-0.36,-0.2,-1.8,1,0,1,0,-1,1,-0.83,-3.06,-0.48,1,0,1,1,1,1
1,-0.49,-0.24,-2.04,1,0,1,0,-1,1,-0.82,-3.06,-0.48,1,0,1,1,1,1
1,-0.42,-0.21,-2,1,0,1,0,-1,1,-0.81,-3.27,-0.48,1,0,1,1,1,1
1,-0.55,-0.37,-1.49,1,0,1,0,-1,1,-0.89,-3.57,-0.48,1,0,1,1,1,1
1,-0.43,-0.2,-2.15,1,0,1,0,-1,1,-0.81,-3.27,-0.48,1,0,1,1,1,1
1,-0.4,-0.23,-1.74,1,0,1,0,-1,1,-0.85,-3.27,-0.48,1,0,1,1,1,1
1,-0.35,-0.2,-1.75,1,0,1,-1,-1,1,-0.83,-3.45,-0.48,1,0,1,1,1,1
1,-0.44,-0.19,-2.32,1,0,1,0,-1,1,-0.78,-3.49,-0.48,1,0,1,1,1,1
1,-0.45,-0.3,-1.5,1,0,1,0,0,1,-0.83,-3.57,-0.48,1,0,1,-1,1,1
1,-0.4,-0.2,-2,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.38,-0.18,-2.11,1,0,1,0,-1,1,-0.78,-3.06,-0.48,1,0,1,1,1,1
1,-0.34,-0.2,-1.7,1,0,1,0,-1,1,-0.79,-3.06,-0.48,1,0,1,1,1,1
1,-0.52,-0.32,-1.63,1,0,1,0,0,1,-0.78,-3.57,-0.48,1,0,1,1,1,1
1,-0.46,-0.29,-1.59,1,0,1,0,0,1,-0.86,-4.08,-0.48,1,0,1,-1,1,1
1,-0.7,-0.61,-1.15,1,0,1,0,0,1,-0.77,-4.11,-0.45,1,0,1,-1,1,1
1,-0.47,-0.29,-1.62,1,0,1,0,0,1,-0.82,-3.57,-0.48,1,0,1,-1,1,1
1,-0.46,-0.32,-1.44,1,0,1,0,-1,1,-0.86,-3.78,-0.48,1,0,1,1,1,1
1,-0.56,-0.43,-1.3,1,0,1,0,-1,1,-0.81,-4.14,0,1,0,1,1,1,1
1,-0.48,-0.31,-1.55,1,0,1,0,-1,1,-0.85,-3.57,-0.48,1,0,1,-1,1,1
1,-0.58,-0.34,-1.71,1,0,1,0,-1,1,-0.88,-4.08,-0.48,1,0,1,1,1,1
1,-0.4,-0.27,-1.48,1,0,1,0,0,1,-0.81,-3.08,-0.48,1,0,1,-1,1,1
1,-0.4,-0.2,-2,1,0,1,0,-1,1,-0.8,-3.27,-0.48,1,0,1,1,1,1
1,-0.55,-0.37,-1.49,1,0,1,0,0,1,-0.87,-3.78,-0.45,1,0,1,-1,1,1
1,-0.44,-0.28,-1.57,1,0,1,0,0,1,-0.81,-4.08,-0.15,1,0,1,-1,1,1
1,-0.49,-0.34,-1.44,1,0,1,0,0,1,-0.85,-3.3,-0.48,1,0,1,-1,1,1
1,-0.45,-0.24,-1.88,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.42,-0.28,-1.5,1,0,1,0,0,1,-0.8,-3.57,-0.45,1,0,1,-1,1,1
1,-0.38,-0.19,-2,1,0,1,0,-1,1,-0.79,-3.06,-0.48,1,0,1,1,1,1
1,-0.43,-0.23,-1.87,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.5,-0.38,-1.32,1,0,1,0,0,1,-0.88,-4.35,-0.15,1,0,1,-1,1,1
1,-0.44,-0.21,-2.1,1,0,1,0,-1,1,-0.81,-3.27,-0.48,1,0,1,1,1,1
1,-0.31,-0.18,-1.72,1,0,1,0,0,1,-0.78,-2.57,-0.15,1,0,1,-1,1,1
